id,name,host_id,host_name,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,logprice,neighbourhood_group_Brooklyn,neighbourhood_group_Queens,neighbourhood_group_Staten Island,neighbourhood_group_Bronx,room_type_Private room,room_type_Shared room
843003,Modern Two-Bedroom Balcony Apartment,864735,Jason,40.75665,-73.92015,107,30,15,4/30/19,0.19,8,295,4.672828834,0,1,0,0,0,0
843036,Beautiful apt uptown Manhattan,4401623,Roman,40.84714,-73.94172,80,60,22,4/17/19,0.28,1,255,4.382026635,0,0,0,0,0,0
843491,US Open Close By! Clean 1 bedroom w/private bath!,4241953,Celeste,40.76074,-73.80969,80,3,8,1/4/19,0.17,4,346,4.382026635,0,1,0,0,1,0
844319,"XL 90m2 2BR Victorian area,sleeps 7",683027,Camille,40.62961,-73.9572,130,1,227,7/21/19,2.98,1,221,4.86753445,1,0,0,0,0,0
845517,Queen-sized Room Avail in Huge 2 bdrm/2bth loft.,4414425,Ian,40.69691,-73.96713,36,1,8,5/26/19,0.1,1,90,3.583518938,1,0,0,0,1,0
846190,Modern condo close to Prospect park,3159197,Lewis,40.66251,-73.95374,145,3,13,7/26/19,0.21,1,14,4.976733742,1,0,0,0,0,0
846275,"STYLISH LOWER EAST SIDE APT, SLEEPS 4",1732005,Ren,40.72003,-73.98693,145,2,226,7/26/19,3.02,1,262,4.976733742,0,0,0,0,0,0
846470,"COZY SUNNY ROOM, BLOCK 4RM TRAIN :)",430188,Pam,40.70694,-73.95307,75,18,6,7/10/19,0.07,6,109,4.317488114,1,0,0,0,1,0
846799,Strawberry B&B,4421935,Maddy,40.7077,-73.92212,69,30,52,7/5/19,0.67,1,1,4.234106505,1,0,0,0,1,0
846854,Large Garden Duplex on Park block,4422368,Dirk,40.78689,-73.97314,300,30,93,6/8/19,1.22,1,313,5.703782475,0,0,0,0,0,0
848087,Great light-filled 1BR in Brooklyn,3526444,Luca,40.68196,-73.95168,100,5,16,6/26/19,0.27,1,60,4.605170186,1,0,0,0,0,0
848220,LUXURY APT w PRIVATE GARDEN NYC UES,4425694,Gregory,40.76714,-73.95922,160,1,189,7/20/19,2.36,1,233,5.075173815,0,0,0,0,0,0
848707,US Open Close By! Comfortable Room w/ Shared bath,4241953,Celeste,40.76,-73.81117,60,2,17,10/7/18,0.22,4,341,4.094344562,0,1,0,0,1,0
848718,Spacious & Comfy by Prospect Park,4375988,Keturah,40.6593,-73.95686,75,3,46,6/6/19,0.8,3,326,4.317488114,1,0,0,0,1,0
848722,US Open Close By! Great spot w/ private bathroom,4241953,Celeste,40.76014,-73.81146,45,2,41,7/27/19,0.54,4,297,3.80666249,0,1,0,0,1,0
848853,Upper Manhattan//Harlem Classic,4432173,Stella,40.80712,-73.95316,65,2,15,5/16/18,0.2,1,331,4.17438727,0,0,0,0,1,0
849409,Spacious garden appartment brooklyn,4434798,Bernard,40.68099,-73.97446,120,5,147,7/28/19,1.83,1,253,4.787491743,1,0,0,0,0,0
849495,HOTEL Luxury STUDIO Central Park_SH,1347968,Andy,40.7662,-73.98288,129,30,5,2/22/19,0.07,1,364,4.859812404,0,0,0,0,0,0
849603,Spacious Crown Heights Apartment,4435623,Ayana,40.67525,-73.9486,100,2,52,6/15/19,0.66,1,51,4.605170186,1,0,0,0,0,0
850097,Beautiful 1BD in the West Village,4438960,Taleah,40.73118,-74.0029,235,2,97,4/10/19,1.45,1,69,5.459585514,0,0,0,0,0,0
